Q13838
Q86UR5
Q01780
Q8NE35
Q9H0D6
P62829
P78362
P35221
O15116
Q9Y2R9
P62244
Q8NEJ9
Q9GZR2
P51991
Q76FK4
Q8N983
Q5TC82
P81605
Q9Y224
Q8IZ69
Q13435
Q6PKG0
Q9H694
Q5U5Q3
P21333
P42285
P68104
Q92900
Q5QJE6
P09132
Q10589
Q04637
Q7Z5Q1
P19338
Q9NVN8
Q92945
Q9NUQ6
Q7Z2T5
Q9NYL2
Q9HBD1
Q9Y3Y2
Q9UKV3
Q92667
Q9UGP8
P30101
Q8IZL8
Q9Y3A5
Q13428
P46013
Q96KR1
P30086
Q00577
Q9UJA5
P49756
Q92979
Q9BUL9
Q14690
Q1KMD3
Q9P015
Q09666
Q17RY0
Q9UPQ9
Q9H9L3
Q5BKZ1
Q9UK61
P46777
P18031
P83731
P62917
Q8IZ73
Q15029
O95453
Q9BY77
Q96DI7
Q9P258
Q86WX3
O15226
P51398
Q9HCE1
Q9Y5A9
Q9BXS6
Q6PK04
O43251
Q8N5K1
P09960
O60293
P04080
P13798
O60869
Q86UE4
Q16630
O00571
Q7L2J0
P82912
P43243
O00425
Q9NW13
P61011
Q96MU7
Q8WU90
Q8TBZ6
Q9Y3X0
Q8NC51
Q01844
Q8IWA0
P05783
Q6P087
Q86VM9
P62191
Q14331
Q9NP64
Q13206
O15427
Q86UP2
O95218
Q9H6R0
Q6DKI1
P31483
Q02790
Q7RTV0
Q9NY12
P63104
P23246
P26373
P62906
Q9NXG2
Q99733
Q9P2E3
Q9UI17
Q96IP4
P52298
Q9BZE4
Q53R41
Q9Y314
Q9P0M9
O60841
Q14966
Q86TG7
Q92973
Q14204
Q96EU6
Q9Y333
P51116
Q92541
Q9NYY8
P23284
P46782
P62495
P60468
Q9NX58
Q9H6T0
P63244
Q8IUH3
P63279
Q15654
P26447
P61247
Q53F19
O95777
O43414
Q06787
P54886
Q96QR8
P62316
P11940
Q16658
P62701
P55265
Q08J23
Q7L0Y3
Q15397
O15372
P62899
Q8N8A6
Q92888
Q9UNP9
P15880
P52758
Q8N6N3
Q9GZT3
Q1ED39
P26196
Q8NDD1
Q9UNX4
Q9Y4P3
Q86Y79
O95900
Q9UQ80
Q9NW64
Q86TB9
Q08170
Q9BRD0
P13667
P08708
P14868
Q9Y5B9
Q13823
Q9Y6G3
Q15942
P25398
P08195
O15371
P04792
P25705
Q92834
P62888
Q92804
Q9Y3A2
P07237
Q8TAD8
Q969Z0
P07910
Q8NEZ4
P33316
Q9NVV4
Q8TEQ6
P49411
P62241
P62995
P40926
Q14671
Q9NYF8
Q05519
Q9BUJ2
P56270
Q8IY81
Q7Z417
Q9P031
Q66PJ3
Q02252
P38919
Q13595
P50991
P50454
O75152
P04843
Q7KZF4
Q5VYS8
Q9Y421
P53999
Q9BQ67
Q00059
Q9Y6Y8
Q9H0S4
Q9Y2K5
Q99590
P35268
Q12931
Q8NDF8
Q8IX01
O14979
P31942
P26651
P55769
Q86Y13
O60306
P14324
Q9BYG3
P01891
P01892
P10316
P62910
Q9NQC3
